0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,0,0,4,10,3,4,5,0,0,0,19,215,194,8,1,0,2,6,249,224,163,254,1,0,1,50,191,1,4,198,119,0,3,177,193,2,0,39,191,0,4,2,251,62,26,246,9,0,2,1,41,245,245,83,1,0,0,0,0,0,0,0,0,0
0,0,0,1,4,0,1,3,0,0,0,7,28,139,0,2,0,0,0,3,245,5,230,1,0,0,0,55,53,0,164,2,0,3,0,196,20,6,146,4,0,2,1,210,25,13,170,0,0,0,1,19,235,111,4,8,0,0,0,0,0,0,0,0,0
0,0,0,1,3,1,1,0,0,0,0,3,2,1,2,4,0,2,5,180,50,202,249,35,6,9,160,23,1,1,4,247,2,0,189,14,5,2,9,218,1,0,27,246,147,174,198,8,0,5,8,7,8,2,2,6,0,0,0,0,0,0,0,0,0
0,0,0,5,9,5,0,6,0,0,0,3,5,215,246,7,0,3,0,5,214,84,150,14,0,8,4,106,77,9,139,3,0,5,15,141,3,1,209,1,0,2,161,128,89,242,54,1,0,1,6,187,102,2,8,1,0,0,0,0,0,0,0,0,0
0,0,0,1,5,2,2,1,0,0,0,1,43,236,176,3,0,0,3,96,250,246,251,2,0,1,1,250,250,25,253,2,0,4,1,252,96,40,246,3,0,4,0,250,85,223,252,2,0,0,0,10,204,250,15,1,0,0,0,0,0,0,0,0,0
0,0,0,3,5,2,1,1,0,0,0,0,2,1,10,4,0,1,0,66,251,250,253,154,0,0,2,248,224,6,2,248,0,4,28,205,6,8,43,223,0,4,205,7,78,216,216,6,0,0,201,233,142,4,4,6,0,0,0,0,0,0,0,0,0
0,0,0,5,2,3,5,6,0,0,0,2,3,176,125,4,0,0,1,3,232,1,192,12,0,0,1,55,73,2,1,177,0,0,0,251,2,8,19,103,0,2,2,239,8,155,252,5,0,2,1,182,223,112,2,4,0,0,0,0,0,0,0,0,0
0,0,0,2,2,2,1,2,0,0,0,1,1,2,0,1,0,1,3,114,251,252,255,18,1,0,14,250,252,9,146,239,0,3,126,143,7,0,3,250,1,1,11,245,70,84,234,160,3,8,3,17,111,121,8,8,3,0,0,0,0,0,0,0,0
0,0,0,1,2,2,6,3,0,0,0,7,64,240,48,2,0,3,8,10,253,33,196,214,0,1,2,247,19,2,31,202,0,8,91,134,0,0,221,49,0,2,77,163,3,182,252,7,0,3,3,191,227,143,4,3,0,0,0,0,0,0,0,0,0
0,0,0,1,3,5,7,2,0,0,0,1,1,38,219,5,0,0,0,2,89,214,228,2,0,2,0,28,222,7,208,6,0,0,0,248,3,4,255,1,0,3,5,208,1,207,72,6,0,5,1,182,234,80,4,13,0,0,0,0,0,0,0,0,0
0,0,0,3,13,6,5,7,0,0,0,6,92,230,158,0,0,2,1,59,226,2,243,4,0,4,6,246,5,4,189,2,0,0,3,248,0,2,191,10,0,0,2,251,6,2,251,5,0,1,3,54,249,228,11,2,0,0,0,0,0,0,0,0,0
0,0,0,1,8,2,2,4,0,0,0,3,153,2,3,4,0,0,5,78,4,8,197,1,0,2,0,226,2,2,10,88,0,2,4,115,2,5,3,164,0,1,2,186,5,2,96,4,0,0,2,31,181,191,16,8,0,0,0,0,0,0,0,0,0
0,0,0,2,0,2,1,1,0,0,0,2,2,2,5,4,0,1,3,2,12,247,247,11,1,0,4,230,66,124,23,247,5,4,181,37,7,94,2,244,8,1,32,244,191,215,166,11,2,5,3,5,1,2,2,2,2,0,0,0,0,0,0,0,0
0,0,0,4,3,0,11,6,0,0,0,7,112,249,3,2,0,0,5,183,30,27,253,15,0,2,11,191,1,5,207,201,0,5,169,11,3,1,118,215,0,1,250,101,5,33,237,14,0,2,1,183,222,170,8,1,0,0,0,0,0,0,0,0,0
0,0,0,7,4,1,8,7,0,0,0,2,0,24,0,83,0,8,1,1,70,210,4,183,2,2,5,58,195,57,2,234,5,1,2,231,11,5,168,52,5,6,187,30,164,248,47,3,0,0,0,34,6,5,0,2,0,0,0,0,0,0,0,0,0
0,0,0,4,1,2,3,7,0,0,0,1,5,1,2,1,0,3,5,1,35,254,252,120,0,3,3,135,253,24,8,232,0,1,145,204,3,54,248,142,0,0,184,237,254,160,14,1,0,3,1,3,2,3,2,3,0,0,0,0,0,0,0,0,0
